VEHICLE	DRONE						
NUMBER	NUMBER						
9	4						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	1236	0	0
1	45	68	10	0	1127	45	0.36
2	45	70	18	0	1125	45	0.38
3	42	66	32	0	1129	45	0.57
4	42	68	16	727	782	45	0.36
5	42	65	18	0	1130	45	0.38
6	40	69	28	0	1127	45	0.57
7	40	66	24	0	1130	45	0.38
8	38	68	12	255	324	45	0.57
9	38	70	32	534	605	45	0.38
10	35	66	38	0	1129	45	0.57
11	35	69	30	448	505	45	0.57
12	25	85	22	0	1107	45	0.36
13	22	75	32	30	92	45	0.38
14	22	85	26	0	1106	45	0.57
15	20	80	32	384	429	45	0.38
16	20	85	33	0	1105	45	0.57
17	18	75	38	0	1112	45	0.36
18	15	75	38	0	1110	45	0.57
19	15	80	35	0	1106	45	0.36
20	30	50	19	0	1136	45	0.57
21	30	52	12	0	1135	45	0.38
22	28	52	35	0	1133	45	0.57
23	28	55	13	732	777	45	0.38
24	25	50	23	0	1131	45	0.57
25	25	52	16	169	224	45	0.36
26	25	55	40	0	1130	45	0.38
27	23	52	22	0	1128	45	0.57
28	23	55	34	0	1128	45	0.57
29	20	50	10	0	1126	45	0.36
30	20	55	20	0	1125	45	0.38
31	10	35	37	0	1112	45	0.57
32	10	40	15	0	1114	45	0.38
33	8	40	11	0	1112	45	0.57
34	8	45	17	0	1113	45	0.36
35	5	35	27	0	1107	45	0.38
36	5	45	34	0	1110	45	0.57
37	2	40	23	0	1106	45	0.57
38	0	40	27	479	522	45	0.36
39	0	45	17	0	1105	45	0.38
40	35	30	19	0	1125	45	0.57
41	35	32	37	0	1127	45	0.38
42	33	32	24	0	1126	45	0.57
43	33	35	29	0	1129	45	0.36
44	32	30	20	359	412	45	0.57
45	30	30	11	0	1123	45	0.38
46	30	32	31	0	1125	45	0.57
47	30	35	20	0	1127	45	0.36
48	28	30	19	0	1122	45	0.57
49	28	35	38	0	1126	45	0.38
50	26	32	18	0	1123	45	0.57
51	25	30	10	0	1121	90	2
52	25	35	10	0	1124	90	2
53	44	5	20	286	347	90	2
54	42	10	40	0	1105	90	2
55	42	15	10	95	158	90	2
56	40	5	30	0	1101	90	2
57	40	15	40	0	1111	90	2
58	38	5	30	471	534	90	2
59	38	15	10	0	1110	90	2
60	35	5	20	0	1100	90	2
61	50	30	10	0	1123	90	2
62	50	35	20	262	317	90	2
63	50	40	50	0	1131	90	2
64	48	30	10	0	1124	90	2
65	48	40	10	0	1133	90	2
66	47	35	10	0	1129	90	2
67	47	40	10	12	77	90	2
68	45	30	10	0	1125	90	2
69	45	35	10	916	969	90	2
70	95	30	30	0	1087	90	2
71	95	35	20	0	1088	90	2
72	53	30	10	0	1122	90	2
73	92	30	10	0	1090	90	2
74	53	35	74	353	412	90	2
75	45	65	93	0	1130	90	2
76	90	35	93	203	260	90	2
77	88	30	82	574	643	90	2
78	88	35	54	0	1095	90	2
79	87	30	50	668	731	90	2
80	85	25	68	0	1094	90	2
81	85	35	86	0	1098	90	2
82	75	55	64	0	1110	90	2
83	72	55	72	0	1113	90	2
84	70	58	79	458	523	90	2
85	68	60	56	0	1116	90	2
86	66	55	54	0	1119	90	2
87	65	55	67	85	144	90	2
88	65	60	53	0	1119	90	2
89	63	58	84	0	1121	90	2
90	60	55	76	0	1125	90	2
91	60	60	74	0	1123	90	2
92	67	85	93	368	441	90	2
93	65	85	63	0	1102	90	2
94	65	82	53	0	1105	90	2
95	62	80	71	0	1108	90	2
96	60	80	78	0	1109	90	2
97	60	85	58	0	1105	90	2
98	58	75	96	0	1115	90	2
99	55	80	63	743	820	90	2
100	55	85	63	647	726	90	2
