VEHICLE	DRONE						
NUMBER	NUMBER						
8	7						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	35	35	0	0	230	0	0
1	41	49	37	0	204	5	0.57
2	35	17	21	0	202	5	0.36
3	55	45	19	0	197	5	0.38
4	55	20	13	149	159	5	0.57
5	15	30	17	0	199	5	0.38
6	25	30	35	99	109	5	0.38
7	20	50	23	0	198	5	0.57
8	10	43	12	95	105	5	0.57
9	55	60	15	97	107	5	0.36
10	30	60	15	124	134	5	0.38
11	20	65	36	67	77	5	0.38
12	50	35	15	0	205	5	0.57
13	30	25	18	159	169	5	0.38
14	15	10	24	32	42	5	0.57
15	30	5	37	61	71	5	0.57
16	10	20	30	75	85	5	0.36
17	5	30	39	157	167	5	0.38
18	20	40	16	87	97	5	0.57
19	15	60	18	76	86	5	0.38
20	45	65	12	126	136	5	0.57
21	45	20	37	0	201	5	0.36
22	45	10	37	97	107	5	0.57
23	55	5	15	68	78	5	0.38
24	65	35	35	153	163	5	0.57
25	65	20	32	172	182	5	0.36
26	45	30	29	0	208	5	0.38
27	35	40	29	37	47	5	0.57
28	41	37	37	39	49	5	0.38
29	64	42	31	63	73	5	0.38
30	40	60	18	71	81	5	0.57
31	31	52	29	0	202	5	0.57
32	35	69	16	141	151	5	0.36
33	53	52	22	37	47	5	0.38
34	65	55	18	0	183	5	0.38
35	63	65	31	143	153	5	0.38
36	2	60	17	41	51	5	0.57
37	20	20	12	0	198	5	0.36
38	5	5	24	83	93	5	0.38
39	60	12	23	44	54	5	0.57
40	40	25	36	85	95	5	0.38
41	42	7	37	97	107	5	0.38
42	24	12	30	31	41	5	0.57
43	23	3	19	132	142	5	0.57
44	11	14	21	69	79	5	0.36
45	6	38	22	32	42	5	0.38
46	2	48	33	117	127	5	0.38
47	8	56	21	51	61	5	0.36
48	13	52	32	0	192	5	0.57
49	6	68	29	108	118	5	0.38
50	47	47	22	0	203	5	0.57
51	49	58	10	88	98	10	2
52	27	43	9	0	208	10	2
53	37	31	14	95	105	10	2
54	57	29	18	140	150	10	2
55	63	23	2	136	146	10	2
56	53	12	6	130	140	10	2
57	32	12	7	101	111	10	2
58	36	26	18	200	210	10	2
59	21	24	28	0	202	10	2
60	17	34	3	162	172	10	2
61	12	24	13	76	86	10	2
62	24	58	19	58	68	10	2
63	27	69	10	34	44	10	2
64	15	77	9	73	83	10	2
65	62	77	20	51	61	10	2
66	49	73	25	127	137	10	2
67	67	5	25	83	93	10	2
68	56	39	36	142	152	10	2
69	37	47	6	50	60	10	2
70	37	56	5	182	192	10	2
71	57	68	15	77	87	10	2
72	47	16	25	0	197	10	2
73	44	17	9	78	88	10	2
74	46	13	89	149	159	10	2
75	49	11	96	0	192	10	2
76	49	42	67	73	83	10	2
77	53	43	95	179	189	10	2
78	61	52	97	96	106	10	2
79	57	48	81	92	102	10	2
80	56	37	57	182	192	10	2
81	55	54	98	94	104	10	2
82	15	47	65	0	196	10	2
83	14	37	78	0	198	10	2
84	11	31	77	101	111	10	2
85	16	22	65	0	196	10	2
86	4	18	70	94	104	10	2
87	28	18	85	93	103	10	2
88	26	52	98	74	84	10	2
89	26	35	51	176	186	10	2
90	31	67	60	95	105	10	2
91	15	19	75	0	194	10	2
92	22	22	94	18	28	10	2
93	18	24	73	188	198	10	2
94	26	27	73	0	207	10	2
95	25	24	78	0	205	10	2
96	22	27	72	0	204	10	2
97	25	21	89	133	143	10	2
98	19	21	51	0	198	10	2
99	20	26	63	83	93	10	2
100	18	18	55	185	195	10	2
