VEHICLE	DRONE						
NUMBER	NUMBER						
8	4						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	960	0	0
1	25	85	28	0	911	5	0.57
2	22	75	14	0	919	5	0.36
3	22	85	22	0	910	5	0.38
4	20	80	29	644	764	5	0.57
5	20	85	37	0	909	5	0.38
6	18	75	23	0	916	5	0.38
7	15	75	35	0	914	5	0.57
8	15	80	17	367	487	5	0.57
9	10	35	36	371	491	5	0.36
10	10	40	30	0	918	5	0.38
11	8	40	28	195	315	5	0.38
12	8	45	31	0	917	5	0.57
13	5	35	21	653	773	5	0.38
14	5	45	35	0	914	5	0.57
15	2	40	20	174	294	5	0.57
16	0	40	38	0	908	5	0.36
17	0	45	20	0	909	5	0.38
18	44	5	36	0	904	5	0.57
19	42	10	13	0	909	5	0.38
20	42	15	18	0	914	5	0.57
21	40	5	38	0	905	5	0.36
22	40	15	33	0	915	5	0.57
23	38	5	15	201	321	5	0.38
24	38	15	19	0	914	5	0.57
25	35	5	34	784	904	5	0.36
26	95	30	18	0	891	5	0.38
27	95	35	11	0	892	5	0.57
28	92	30	16	0	894	5	0.38
29	90	35	29	0	897	5	0.38
30	88	30	23	0	898	5	0.57
31	88	35	29	0	899	5	0.57
32	87	30	22	0	898	5	0.36
33	85	25	11	0	898	5	0.38
34	85	35	12	0	902	5	0.38
35	67	85	25	0	905	5	0.38
36	65	85	24	0	906	5	0.57
37	65	82	15	0	909	5	0.36
38	62	80	11	278	398	5	0.38
39	60	80	12	0	913	5	0.57
40	60	85	33	0	909	5	0.38
41	58	75	15	0	919	5	0.38
42	55	80	28	0	916	5	0.57
43	55	85	40	0	911	5	0.57
44	55	82	31	217	337	5	0.36
45	20	82	24	0	912	5	0.38
46	18	80	34	0	912	5	0.38
47	2	45	34	0	911	5	0.36
48	42	5	24	0	904	5	0.57
49	42	12	36	0	911	5	0.38
50	72	35	26	0	914	5	0.57
51	55	20	19	0	916	10	2
52	25	30	3	0	925	10	2
53	20	50	5	375	495	10	2
54	55	60	16	0	931	10	2
55	30	60	16	599	719	10	2
56	50	35	19	0	931	10	2
57	30	25	23	0	923	10	2
58	15	10	20	782	902	10	2
59	10	20	19	0	907	10	2
60	15	60	17	0	923	10	2
61	45	65	9	0	934	10	2
62	65	35	3	167	287	10	2
63	65	20	6	0	910	10	2
64	45	30	17	0	929	10	2
65	35	40	16	0	938	10	2
66	41	37	16	0	936	10	2
67	64	42	9	268	388	10	2
68	40	60	21	0	940	10	2
69	31	52	27	157	277	10	2
70	35	69	23	0	930	10	2
71	65	55	14	0	924	10	2
72	63	65	8	0	922	10	2
73	2	60	5	0	910	10	2
74	20	20	82	645	765	10	2
75	5	5	58	0	892	10	2
76	60	12	84	268	388	10	2
77	23	3	90	764	884	10	2
78	8	56	55	0	917	10	2
79	6	68	57	352	472	10	2
80	47	47	60	0	942	10	2
81	49	58	68	0	937	10	2
82	27	43	80	0	935	10	2
83	37	31	63	0	930	10	2
84	57	29	68	395	515	10	2
85	63	23	63	0	914	10	2
86	21	24	98	0	917	10	2
87	12	24	70	359	479	10	2
88	24	58	79	0	932	10	2
89	67	5	55	0	897	10	2
90	37	47	59	0	945	10	2
91	49	42	73	0	937	10	2
92	53	43	88	14	134	10	2
93	61	52	80	0	928	10	2
94	57	48	65	0	932	10	2
95	56	37	74	0	929	10	2
96	55	54	57	0	934	10	2
97	4	18	57	0	901	10	2
98	26	52	76	0	935	10	2
99	26	35	74	308	428	10	2
100	31	67	70	810	930	10	2
